Song Name,Artist Name,Streaming Link
Que Pasa?,TOLEDO,https://open.spotify.com/track/5DjnLqAluIEqtYPf6FQ08v
Wreck It All,Macey Estes,https://open.spotify.com/track/0OKLXWZgrKcI5kGxjihbvP?si=A5gFTI0nR-6HrKMG6fU8iw
Outsider,Kayla Cariaga,https://open.spotify.com/track/1GMxTmZPEvhfIrhhjk7Lst?si=D3L3wM1TQ1uOlD5jS01aQA
Keep On Drivin' (Til There's No More Car),Blood Pumps,https://youtu.be/G1ii5wnbQaA
honest,FLAK (Featuring Michael Hausted & Rosemary Joaquin),https://open.spotify.com/track/2Sb7IhlMy58yzwGOyqbE0T?si=1N6UShM0QEK3ccZK-YjXDg
Repeat,Guthrie Galileo,https://www.youtube.com/watch?v=BGEd3ee1gvY&t=14s
California Sunshine,Michael Cunningham,https://open.spotify.com/track/5rjC4cYNIT9A5qPQczdfTs?si=b_Cy2o02QY2zxllmIqb8QA       
Extinction,Clean but Tired,https://open.spotify.com/track/4LEYavJuAWHNE4gF1XYTZG?si=OzRs-6PWS2-kgjPVg_-CsA
Na Na Na,Dj Marlon,https://open.spotify.com/track/1inSuOQWjGfCFMVzIznBMp?si=u3_8ZpNdR4-VdpTMujDqZQ
peace and quiet,GEF,https://open.spotify.com/track/7lRswmWe6TfM2fe115jpuH?si=eod-TDMaT8SYVfbYx_w2FQ
Full Control?,Port Lucian,https://open.spotify.com/track/3kL80LkEXGAyPmG79K5hXZ?si=cngoZMahRR2cQ7z318iCNw
Feel Again,Lucy Clearwater,https://open.spotify.com/track/6BBQQ2je96IqTNe3GtUBCq?si=dTXSPf80RPCVoOnkI6PU1g
Feel,Underway Project,https://open.spotify.com/track/5ZkhGKl8HtAxF2V5Kn2prl
Langur,Sweet Crude,https://open.spotify.com/track/29adaUvBltny2kodDZWZCK?si=Gzuz09jyTgC_p-aDmzDKgw
Desires,Dali Dream,https://open.spotify.com/track/3oqoD5qG1LAZ2wNQv7bZkG?si=zRKVszcfQiKV76Eub338gw
Bright Side,Coco Blunt,https://open.spotify.com/track/2OWPHFji8kQLFmRTaTDAxS?si=wn1YEu3eSS2Ez31aa_8CuQ
Good Enough,Viktoria Vera,https://open.spotify.com/track/7AUh07BE6EBUWB3sTSfcWl?si=YCDvkZbpT1-QRouE6R0kxQ
Paul Bunyan ,Bay,https://youtu.be/yJelMUyonjw
Full Control?,Port Lucian,https://open.spotify.com/track/3kL80LkEXGAyPmG79K5hXZ
Part of Me,The Outright,https://open.spotify.com/track/6rfxYCnNjzZbaDB87w85BK?si=7a-a-MpCT5y40PqzBlaM8A
